site_name,Cultural Venue Type,latitude,longitude
Leathersellers Company,Archives,51.51500491,-0.081543569
Lloyds Banking Group Archives (London),Archives,51.51876949,-0.080069711
Bishopsgate Institute,Archives,51.5187111,-0.079250559
City of London Club,Archives,51.5149871,-0.08468246
Schroder Archive,Archives,51.5160036,-0.095190298
Baltic Exchange,Archives,51.51497647,-0.08018605
Lloyd's,Archives,51.51301401,-0.082257511
Dr Johnson's House,Archives,51.51503546,-0.108159067
Royal Literary Fund,Archives,51.51480141,-0.108702042
City of London School,Archives,51.51102633,-0.099361206
Institute of Actuaries,Archives,51.51782273,-0.111371942
College of Arms,Archives,51.51223825,-0.098676614
City of London Police Museum,Archives,51.51667263,-0.093749855
Council for the Advancement of Arab-British Understanding,Archives,51.51514167,-0.108053774
Mission to Seafarers,Archives,51.51118565,-0.092004606
Museum of London Library,Archives,51.5177984,-0.096066695
Bank of England Archive,Archives,51.51418809,-0.088621829
Stationers Company,Archives,51.51428045,-0.101502905
Institute of Chartered Accountants in England and Wales,Archives,51.51639409,-0.088241168
St Bartholomew's Hospital Archives,Archives,51.51775143,-0.100378378
Barbers Company,Archives,51.5180174,-0.094601756
Lloyd's Register Foundation Heritage & Education Centre,Archives,51.51250665,-0.078733423
National Council for Housing and Planning,Archives,51.51031626,-0.084460529
Royal Town Planning Institute,Archives,51.51031626,-0.084460529
Salters Company,Archives,51.51823014,-0.092200156
"St Paul's Cathedral, Architectural Archive",Archives,51.51430322,-0.099022976
Inner Temple Library,Archives,51.51291913,-0.109644767
Inner Temple Archives,Archives,51.51279865,-0.109981236
Goldsmiths Company,Archives,51.51589613,-0.095771311
British Red Cross Museum and Archives,Archives,51.51908359,-0.08858643
Middle Temple Library,Archives,51.51189777,-0.110998545
Fishmongers Company,Archives,51.50935936,-0.087541437
All Hallows by the Tower,Archives,51.50933062,-0.079184156
"Friars Minor, English Province Archives",Archives,51.53951262,0.024906099
Franciscan Archives English Province,Archives,51.53951262,0.024906099
Newham Archive and Local Studies Library,Archives,51.54277052,0.004355963
Mind for Better Mental Health,Archives,51.54023648,0.001086514
Movement for Christian Democracy,Archives,51.51524569,0.013149883
University of East London: Library and Learning Centre,Archives,51.50748597,0.064786409
"Theatre Royal, Stratford East",Archives,51.54255806,0.001000881
Royal Medical Benevolent Fund,Archives,51.42115468,-0.201544771
University of the Arts London: Wimbledon College of Art,Archives,51.41350764,-0.21213045
Wimbledon Society Museum of Local History,Archives,51.42361787,-0.216205974
Royal British Nurses Association,Archives,51.38293674,-0.215506154
Wimbledon Lawn Tennis Museum: Kenneth Ritchie Wimbledon Library,Archives,51.43449072,-0.2144734
University of Roehampton: Archives and Special Collections,Archives,51.45736039,-0.244932558
De Morgan Centre,Archives,51.45713641,-0.200476777
Wandsworth Museum,Archives,51.45713641,-0.200476777
Book Trust,Archives,51.45797137,-0.184048133
Foster + Partners,Archives,51.48076694,-0.168381317
Shaftesbury Young People,Archives,51.45349738,-0.17390549
University of Roehampton: Southlands College Archives,Archives,51.45954775,-0.244474421
"Queen Mary's Hospital, Roehampton",Archives,51.45554949,-0.241705797
Wandsworth Heritage Service,Archives,51.4640283,-0.164141817
Royal Academy of Dance: Philip Richardson Library,Archives,51.47430671,-0.17507667
Franco-British Society,Archives,51.47225363,-0.163379903
Emanuel School,Archives,51.45665326,-0.173290163
"St George's Archives and Special Collections, University of London",Archives,51.42729284,-0.174518631
Leo Baeck College Library,Archives,51.59527665,-0.189326369
"Royal Air Force Museum, Department of Research and Information Services",Archives,51.59894703,-0.238163901
King Alfred School,Archives,51.56967063,-0.184458946
Barnet Museum,Archives,51.65287654,-0.202296261
Middlesex University: Museum of Domestic Design & Architecture Collections Centre,Archives,51.59604884,-0.241636786
Middlesex University: Sheppard Library,Archives,51.5904557,-0.22959233
Jews College Library,Archives,51.58821378,-0.213739211
Barnet Local Studies and Archives,Archives,51.58859385,-0.228932832
Brent Museum and Archives,Archives,51.5466504,-0.228921501
Enfield Local Studies Library and Archive,Archives,51.65031766,-0.081118167
Broomfield House Museum,Archives,51.61844628,-0.11800416
Brompton Oratory,Archives,51.49747072,-0.169815218
Chelsea and Westminster Hospital Archives,Archives,51.48425239,-0.181434976
Leighton House Museum,Archives,51.49858782,-0.203095135
Commonwealth Institute,Archives,51.49987443,-0.200159027
London University: Heythrop College,Archives,51.49946248,-0.1902477
"Offer, Watermann & Co",Archives,51.48229148,-0.180821618
Royal British Society of Sculptors,Archives,51.49173139,-0.179509541
State Apartments and Court Dress Collection: Kensington Palace,Archives,51.50519934,-0.188021818
National Army Museum Templer Study Centre,Archives,51.48622897,-0.160337437
Chelsea Physic Garden,Archives,51.48457384,-0.162251549
Chelsea Library,Archives,51.48747216,-0.168170333
Eighteen Stafford Terrace: Sambourne Family Archive,Archives,51.50045223,-0.196840681
"National Art Library, Victoria & Albert Museum",Archives,51.49690228,-0.172098033
"Victoria & Albert Museum, Department of Designs, Prints and Drawings",Archives,51.49690228,-0.172098033
Royal Institute of British Architects,Archives,51.49690228,-0.172098033
"Victoria & Albert Museum, Department of Textiles and Dress",Archives,51.49690228,-0.172098033
Natural History Museum Library and Archives,Archives,51.49656438,-0.176867722
Armenian Institute,Archives,51.49955292,-0.193331863
Kensington and Chelsea Libraries and Arts Service,Archives,51.50141889,-0.194406095
Writers and Scholars Educational Trust (Index on Censorship),Archives,51.52727965,-0.108473109
Survival International,Archives,51.52292435,-0.098289009
International PEN,Archives,51.5230092,-0.098530535
Society of Genealogists,Archives,51.5226949,-0.098558049
Honourable Artillery Company,Archives,51.52301548,-0.088410608
Marx Memorial Library,Archives,51.52296494,-0.105797743
Corps of Commissionaires (Corps Security),Archives,51.52003774,-0.102733663
"Amnesty International, International Secretariat",Archives,51.52582065,-0.111128528
Royal Statistical Society,Archives,51.52252542,-0.090896162
Royal National Institute for the Deaf,Archives,51.52448381,-0.088565323
Mencap,Archives,51.52387977,-0.095654351
Scope (formerly the Spastics Society),Archives,51.54710287,-0.118742027
Guildhall Library Manuscripts Section,Archives,51.52537595,-0.107528493
London Metropolitan Archives: City of London,Archives,51.52537595,-0.107528493
"City, University of London",Archives,51.52770618,-0.102587756
Prison Reform Trust,Archives,51.52385619,-0.100297203
Legal Action Group,Archives,51.53119215,-0.119701061
Association for the Conservation of Energy,Archives,51.53567982,-0.096863134
UKCISA: UK Council for International Student Affairs,Archives,51.53662962,-0.104422713
Museum of Order of St John,Archives,51.52192262,-0.10251114
British Psychological Society: History of Psychology Centre,Archives,51.52319332,-0.086082254
Tavistock Institute of Human Relations,Archives,51.52319332,-0.086082254
Working Men's Club & Institute Union Ltd,Archives,51.54566034,-0.103441508
British Deaf Association,Archives,51.5223107,-0.086551737
Save the Children UK,Archives,51.5207651,-0.102112419
National Council for Voluntary Youth Services,Archives,51.5330567,-0.106474468
Guardian News & Media Archive (formerly the Newsroom),Archives,51.53499869,-0.121548397
ActionAid Central Archive,Archives,51.56568099,-0.135607243
Evangelical Alliance,Archives,51.53708312,-0.119746587
National Council of Voluntary Child Care Organisations,Archives,51.52925214,-0.101427729
Church Times,Archives,51.52353627,-0.094991154
Islington Local History Centre,Archives,51.52648755,-0.104527002
Community Service Volunteers,Archives,51.53092502,-0.11818378
Fields in Trust (formerly the National Playing Fields Association),Archives,51.53442884,-0.121903503
London Borough of Sutton: Archives & Local Studies,Archives,51.36207339,-0.195154616
Medical Defence Union,Archives,51.50584065,-0.104000959
University of the Arts London: University Archives and Special Collections,Archives,51.4949151,-0.101818139
University of the Arts London: London College of Communication,Archives,51.4949151,-0.101818139
Mental Health Foundation,Archives,51.50844093,-0.10672454
Confederation of Indian Organisations (UK),Archives,51.49843095,-0.105691744
United Medical and Dental Schools: The Wills Library,Archives,51.50345369,-0.08824992
Imperial War Museum Film Archive,Archives,51.49452227,-0.106444522
Imperial War Museum Photograph Archive,Archives,51.49452227,-0.106444522
Salvation Army International Heritage Centre,Archives,51.46754133,-0.089275363
News UK Archive,Archives,51.50542632,-0.087719169
Society of Chiropodists and Podiatrists,Archives,51.5004366,-0.078074266
United Society for the Propagation of the Gospel,Archives,51.50330287,-0.101109232
London South Bank University Archives Centre,Archives,51.49870595,-0.101742556
Electoral Reform Society of Great Britain and Ireland,Archives,51.50515771,-0.102919768
Royal Commonwealth Ex-Services League,Archives,51.50196215,-0.091640797
Southwark Local History Library and Archive,Archives,51.50176866,-0.091908241
Russo-British Chamber of Commerce,Archives,51.50498866,-0.093603703
National Osteopathic Archive,Archives,51.50008115,-0.094312879
British School of Osteopathy,Archives,51.50008115,-0.094312879
Imperial War Museum Department of Documents,Archives,51.49600948,-0.108327792
Imperial War Museum Sound Archive,Archives,51.49600948,-0.108327792
DayCare Trust,Archives,51.49529754,-0.102666646
Bankside Gallery,Archives,51.50819212,-0.100934689
Shakespeare's Globe Library and Archives,Archives,51.50811239,-0.09657156
Chartered Institute of Journalists,Archives,51.49677063,-0.051027719
Action for Blind People,Archives,51.48468217,-0.062835752
Dulwich College Archive,Archives,51.44028029,-0.085018121
Dulwich Picture Gallery,Archives,51.4459777,-0.086420365
Alleyn's School Archive,Archives,51.45478129,-0.081993244
South London Gallery,Archives,51.47428603,-0.079749725
James Allen's Girls' School,Archives,51.45542039,-0.085528085
Royal British Legion,Archives,51.50216782,-0.092122101
The Children's Society Records and Archive Centre,Archives,51.49419634,-0.062821182
University of the Arts London: Camberwell College of Arts,Archives,51.47411741,-0.079886404
Society of Radiographers,Archives,51.50165493,-0.070674501
London Wildlife Trust,Archives,51.5038528,-0.101749191
Co-operative Party,Archives,51.50207687,-0.085987748
Alexandra Park and Palace Charitable Trust,Archives,51.59448347,-0.130501429
Moravian Church Archive and Library,Archives,51.58751364,-0.134410693
Evangelical Library,Archives,51.60960732,-0.13437207
George Padmore Institute,Archives,51.56813088,-0.109447471
Highgate School Archives,Archives,51.57220174,-0.149324045
Haringey Archive Service,Archives,51.5991501,-0.075440905
Railfuture,Archives,51.54712954,-0.074981487
Campaign for Better Transport ,Archives,51.5319723,-0.096152741
British Plastics Federation,Archives,51.52631281,-0.082722063
Alpine Club Archives,Archives,51.52591939,-0.080662628
Geffrye Museum,Archives,51.53155722,-0.076244067
National Society for the Prevention of Cruelty to Children,Archives,51.52340481,-0.080126923
Livability (Shaftesbury Society),Archives,51.52326552,-0.081149086
Museum of London: London Archaeological Archive and Research Centre,Archives,51.53473431,-0.090702331
"Hackney Public Libraries, Stoke Newington District Library",Archives,51.5616189,-0.082795826
The Wyndham Ashworth Archive,Archives,51.49154783,-0.120555522
Prospect,Archives,51.50217833,-0.116329069
"Cinema Museum, Ronald Grant Archive",Archives,51.49228045,-0.105168913
Topolski Century,Archives,51.50484918,-0.115769002
Black Cultural Archives,Archives,51.46051638,-0.114572316
Lambeth Archives,Archives,51.47129501,-0.105390235
European Movement,Archives,51.49222021,-0.11986521
International Fund for Animal Welfare Charitable Trust,Archives,51.48796534,-0.123713335
Ramblers Association,Archives,51.48796534,-0.123713335
King's College London: St Thomas' House Library,Archives,51.49948958,-0.118384483
Marine Society,Archives,51.49554589,-0.116400357
Sea Cadet Association,Archives,51.49554589,-0.116400357
Garden Museum Archives,Archives,51.49504923,-0.12019536
Rambert Dance Company Archives,Archives,51.50617404,-0.113523269
Countryside Alliance,Archives,51.48681908,-0.111128096
D'Oyly Carte Opera Company,Archives,51.48847861,-0.11087226
Sir Arthur Sullivan Society,Archives,51.44132765,-0.128128304
Society for Cooperation in Russian and Soviet Studies,Archives,51.4692849,-0.112903029
World Development Movement,Archives,51.46394243,-0.113972754
Catholic Truth Society,Archives,51.48531584,-0.120552493
Type Museum,Archives,51.47344231,-0.115870702
Socialist Party of Great Britain,Archives,51.46389204,-0.132733683
Musicians Union,Archives,51.47964474,-0.115154428
United Medical and Dental Schools: St Thomas's Hospital,Archives,51.49699222,-0.120230644
"British Film Institute, Special Collections",Archives,51.5069462,-0.115937366
Hayward Gallery Library and Archives,Archives,51.50613299,-0.115444817
Southbank Centre Archive,Archives,51.50576807,-0.116800006
National Theatre Archive,Archives,51.50233994,-0.10885803
Greenwich Heritage Centre,Archives,51.49430805,0.069422401
National Maritime Museum: The Caird Library and Archive,Archives,51.48094088,-0.005215641
University of Greenwich,Archives,51.48296792,-0.006397414
EMI Group Archive Trust,Archives,51.5081604,-0.430243685
London School of Theology,Archives,51.61294959,-0.431728976
Brunel University Archives,Archives,51.53662881,-0.471007019
British Airways Heritage Collection,Archives,51.48549094,-0.487020906
"Hillingdon Local Studies, Archives and Museums Service",Archives,51.54518515,-0.478276716
SADAA (South Asian Diaspora Arts Archive),Archives,51.53283992,-0.472835336
Brunel University Library,Archives,51.53283992,-0.472835336
Lewisham Local History and Archives Centre,Archives,51.4592745,-0.011657207
IRIE! dance theatre,Archives,51.47785681,-0.035301972
MAKE Resource Centre Collections (formerly the Women's Art Library),Archives,51.47414396,-0.035375199
London University: Goldsmiths Library: Special Collections and Archives,Archives,51.47414396,-0.035375199
