site_name,Cultural Venue Type,latitude,longitude
Alexandra Park Library,Libraries,51.59883691,-0.136791438
Coombes Croft Library,Libraries,51.6036546,-0.068289984
Fore Street,Libraries,51.61216618,-0.065299983
Angel Raynham,Libraries,51.61309285,-0.060970777
Bowes Road,Libraries,51.61542868,-0.130623284
Palmers Green,Libraries,51.61558446,-0.110598424
Millfield House,Libraries,51.61639525,-0.081327325
Edmonton Green,Libraries,51.62389868,-0.058054023
Winchmore Hill,Libraries,51.62840877,-0.09841828
Southgate Circus,Libraries,51.63039119,-0.128317025
Ridge Avenue,Libraries,51.63618001,-0.081950955
John Jackson,Libraries,51.64543171,-0.066498908
Ponders End,Libraries,51.64522561,-0.047544058
Oakwood,Libraries,51.64883882,-0.129147054
Enfield Town,Libraries,51.65168973,-0.086210604
Enfield Highway,Libraries,51.65892899,-0.047460964
Enfield Island Village,Libraries,51.66844415,-0.016437158
Ordnance Unity Centre,Libraries,51.67207504,-0.039317419
Bullsmoor,Libraries,51.67641691,-0.049486007
London Live Work,Live in artists' workspace,51.55991924,-0.055499135
Bow Arts,Live in artists' workspace,51.52894539,-0.017675297
ACME,Live in artists' workspace,51.51964494,-0.009800423
Bow Arts,Live in artists' workspace,51.45569067,0.011822411
Bow Arts,Live in artists' workspace,51.53148797,0.075993918
A House for Artists,Live in artists' workspace,51.5396637,0.077883214
Bow Arts,Live in artists' workspace,51.50694762,0.075263138
South London Gallery,Live in artists' workspace,51.47428603,-0.079749723
52 Ossory Llp,Makerspaces,51.48360739,-0.071278223
Bainbridge Print,Makerspaces,51.4879437,-0.086002326
Flux Studios,Makerspaces,51.47249356,-0.081434253
Pangea Sculptors' Centre,Makerspaces,51.4700081,-0.06573931
Peckham Print Studio,Makerspaces,51.46973315,-0.069199648
Sonsoles Print Stuido,Makerspaces,51.46813197,-0.074090545
South London Makerspace,Makerspaces,51.45159069,-0.100880656
Sugarhouse Studios,Makerspaces,51.49619495,-0.06349997
Sustainable Workspaces,Makerspaces,51.5028172,-0.081216113
The Goodlife Centre,Makerspaces,51.50070036,-0.099776622
Artichoke,Makerspaces,51.46471787,-0.102955985
Bainbridge Print,Makerspaces,51.43439246,-0.104528928
Clapham Pottery,Makerspaces,51.46819321,-0.139123731
Fotofusion,Makerspaces,51.46187314,-0.113914086
Meanwhile Space,Makerspaces,51.46626477,-0.102963824
Parade Mews Pottery,Makerspaces,51.43981813,-0.106937521
The Camera Club,Makerspaces,51.48766563,-0.110646583
The Remakery,Makerspaces,51.47054969,-0.103232488
Black And White Basement,Makerspaces,51.53521621,-0.182172022
Kindred Studios,Makerspaces,51.52954595,-0.198761663
London Print Studio,Makerspaces,51.5261,-0.205687758
Makerversity,Makerspaces,51.51102034,-0.117952415
Blackhorse Workshop,Makerspaces,51.59204955,-0.038737955
London Art Workshop,Makerspaces,51.57091376,-0.037453264
Made By Ore,Makerspaces,51.58860521,-0.028520497
Main Yard Studios,Makerspaces,51.57032453,-0.040942099
Turning Earth Ceramics,Makerspaces,51.57054799,-0.039244046
Wood Street Walls Cic,Makerspaces,51.58518778,-0.003507516
Building Bloqs,Makerspaces,51.65451498,-0.079701642
Camden Town Shed,Makerspaces,51.54133776,-0.128815104
Centa,Makerspaces,51.5199076,-0.107481411
Institute Of Making,Makerspaces,51.52357126,-0.132398065
Ceramics Studio Co-Op,Makerspaces,51.48308312,-0.045605733
The Talent Factory,Makerspaces,51.43892739,-0.02091507
Craft Central,Makerspaces,51.48879392,-0.019150991
Fabpub,Makerspaces,51.5327554,-0.05838648
Lime Wharf,Makerspaces,51.53470733,-0.056152615
London Centre For Book Arts,Makerspaces,51.53778211,-0.022754214
No.w.here,Makerspaces,51.52635401,-0.063979877
Swan Wharf Workshop,Makerspaces,51.53773476,-0.021614621
The Carpentry Club,Makerspaces,51.52636805,-0.061484047
Create,Makerspaces,51.55312932,0.053754443
Workshop East,Makerspaces,51.52983552,0.023914481
Stratford Workshop /Lb Newham,Makerspaces,51.53732796,-0.000266734
Create Space London,Makerspaces,51.61526637,-0.238795818
Create Space London,Makerspaces,51.54717167,-0.230689673
Fashion Workspace,Makerspaces,51.53741803,-0.193144235
London Fashion Studios,Makerspaces,51.53740904,-0.193144591
Creative Nature,Makerspaces,51.49485065,0.044292164
Greenwich Printmakers Association,Makerspaces,51.48137273,-0.009169155
London Sculpture Workshop,Makerspaces,51.49434564,0.042593181
Maze Hill Pottery,Makerspaces,51.48289728,0.005857177
Thames Barrier Print Studio,Makerspaces,51.49493929,0.043457944
Double Negative Darkroom,Makerspaces,51.55311679,-0.040656767
East London Printmakers,Makerspaces,51.53844286,-0.057553178
Hackney Fashion Hub,Makerspaces,51.54700737,-0.050178954
Photochats,Makerspaces,51.55026393,-0.042683326
Print Club London,Makerspaces,51.55244302,-0.074462503
Rapid Eye,Makerspaces,51.52481964,-0.082698323
Rara,Makerspaces,51.56536464,-0.052539993
Terrace Studios And Gallery,Makerspaces,51.53954391,-0.075777387
The School Of Stuff,Makerspaces,51.55274138,-0.071181865
Turning Earth Ceramics,Makerspaces,51.53440706,-0.075648017
Down Lane Studios,Makerspaces,51.58995636,-0.062129225
North London Darkroom,Makerspaces,51.5915214,-0.05780374
The Fashion Box,Makerspaces,51.5804164,-0.078036318
Gipsy Hill Workshops,Makerspaces,51.41938463,-0.081950703
Goldfinger Factory,Makerspaces,51.52366817,-0.205437435
"Here Today, Here Tomorrow",Makerspaces,51.54619381,-0.077141096
Hired Woodwork Space (Hwws),Makerspaces,51.47405065,-0.152407067
London Southwest Workshops Ltd,Makerspaces,51.47114226,-0.15616742
Imperial College London,Makerspaces,51.51352783,-0.225162991
Light Factory Workshops,Makerspaces,51.53189092,-0.238304181
The Goldsmiths' Centre,Makerspaces,51.51563669,-0.095854202
John Hinds Framing,Making and manufacturing,51.48194983,-0.071103314
London Stone Carving,Making and manufacturing,51.48360739,-0.071278221
Patey Hats,Making and manufacturing,51.4811735,-0.053522243
Purpose Powder Coatings,Making and manufacturing,51.48208898,-0.055038714
Flux Metal,Making and manufacturing,51.48237535,-0.054954513
Weber Industries,Making and manufacturing,51.48249513,-0.069812886
Steeldeck,Making and manufacturing,51.48542911,-0.059606486
Paye Stonework and Restoration Ltd,Making and manufacturing,51.43985226,0.050351852
Jamm Print and Production Ltd,Making and manufacturing,51.49299223,0.047690921
Nicholas Alexander Ltd,Making and manufacturing,51.49286144,0.051324368
Bubble House Limited,Making and manufacturing,51.4939907,0.040300192
Helix 3D Ltd,Making and manufacturing,51.49498388,0.099835175
The Art Bronze Foundry,Making and manufacturing,51.47741199,-0.189421134
Matter SFX,Making and manufacturing,51.56737538,-0.039351562
AB Fine Art Foundry,Making and manufacturing,51.51764104,-0.015568449
J.D. McDougall Ltd,Making and manufacturing,51.54652439,0.01252546
Studio Meno Ltd,Making and manufacturing,51.53075547,0.061946287
Capital Models Limited,Making and manufacturing,51.52812065,-0.077801901
Kemp London ,Making and manufacturing,51.55085856,-0.072617287
The Beehive Foundry (James Hoyle & Son),Making and manufacturing,51.53433386,-0.058131834
The Holmes Wood Consultancy Limited,Making and manufacturing,51.51818562,-0.094555524
Degross Design & Innovation Limited,Making and manufacturing,51.54461354,-0.273896661
Machine Shop Special Effects,Making and manufacturing,51.53404095,-0.261276794
Other Fabrications Limited,Making and manufacturing,51.51605509,0.103311993
Maison Henry Bertrand,Making and manufacturing,51.60049437,-0.193035858
Furnells,Making and manufacturing,51.57673266,-0.091440329
Framework Picture Framing LTD,Making and manufacturing,51.47678647,-0.021926407
Axion Furniture Makers,Making and manufacturing,51.48271368,-0.044483714
South London Foundry (Wrightson & Platt Ltd),Making and manufacturing,51.4652915,-0.040002752
Project 2020,Making and manufacturing,51.47637649,-0.021612941
London Bronze Casting,Making and manufacturing,51.48315391,-0.037465045
PSB Vision ,Making and manufacturing,51.54695225,-0.181055046
The Mill,Making and manufacturing,51.51864797,-0.133824748
Arch Bronze Ltd,Making and manufacturing,51.46237206,-0.210002725
Creatives Inc. (UK) Limited,Making and manufacturing,51.42045999,-0.125039892
TDC - Cordless Lighting,Making and manufacturing,51.43474145,-0.191515667
FBFX Limited,Making and manufacturing,51.44081473,-0.402035301
Mistral Models,Making and manufacturing,51.55609461,-0.442802172
James Mansfield Timber,Making and manufacturing,51.53835753,-0.494106384
Adam Dawe Design Limited,Making and manufacturing,51.51993512,-0.214203965
White Wall,Making and manufacturing,51.48306535,0.170611333
Maybrey Reliance,Making and manufacturing,51.49310733,0.158613262
Fox Umbrellas Limited,Making and manufacturing,51.37456807,-0.047327748
Museum of Croydon,Museums and public galleries,51.37191054,-0.099510453
Museum of Writing,Museums and public galleries,51.52064362,-0.128698023
The Foundling Museum,Museums and public galleries,51.52527011,-0.121646223
Freud Museum,Museums and public galleries,51.54842189,-0.177246353
Keats House,Museums and public galleries,51.55556976,-0.167930178
British Museum,Museums and public galleries,51.51897146,-0.126474756
2 Willow Road,Museums and public galleries,51.55716249,-0.169150102
British Library,Museums and public galleries,51.52998677,-0.126988355
Burgh House and Hampstead Museum,Museums and public galleries,51.5581809,-0.175067339
Royal College of Physicians of London Museum,Museums and public galleries,51.52574929,-0.144980744
"Jewish Museum, London",Museums and public galleries,51.53728156,-0.144641466
Wellcome Collection,Museums and public galleries,51.52589757,-0.133917453
Government Art Collection,Museums and public galleries,51.52228915,-0.134901111
The British Museum,Museums and public galleries,51.51936411,-0.126847819
Fenton House,Museums and public galleries,51.55891599,-0.180130545
Sir John SoaneÊ¼s Museum,Museums and public galleries,51.51699357,-0.117518712
"Ben Uri Gallery, The Art Museum for Everyone, The London Jewish Museum of Art",Museums and public galleries,51.5375408,-0.185367079
"Grant Museum of Zoology and Comparative Anatomy, UCL",Museums and public galleries,51.52362522,-0.134659092
Petrie Museum of Egyptian Archaeology,Museums and public galleries,51.5240494,-0.132493816
"Geology (and Teaching & Research) Collections, UCL",Museums and public galleries,51.52410071,-0.133457567
UCL Art Museum,Museums and public galleries,51.52450237,-0.133268145
Cartoon Museum,Museums and public galleries,51.51768728,-0.126022998
Central Saint Martins,Museums and public galleries,51.53643913,-0.124459503
House of Illustration,Museums and public galleries,51.53643913,-0.124459503
Library and Museum of Freemasonry,Museums and public galleries,51.51516268,-0.121110977
Charles Dickens Museum,Museums and public galleries,51.52360065,-0.116237044
Kenwood House (known as the Iveagh Bequest),Museums and public galleries,51.57132839,-0.167599805
Crystal Palace Museum,Museums and public galleries,51.41977512,-0.07669903
Bromley Museum at Bromley Historic Collections,Museums and public galleries,51.403765,0.014474249
Bethlem Museum of the Mind,Museums and public galleries,51.38091958,-0.02974049
Down House,Museums and public galleries,51.3314336,0.053466422
V&A Museum of Childhood,Museums and public galleries,51.52905531,-0.054881953
Ragged School Museum,Museums and public galleries,51.51866343,-0.035664072
The Tower of London,Museums and public galleries,51.50827523,-0.076245512
"Royal Armouries, Tower of London",Museums and public galleries,51.50827523,-0.076245512
The Fusilier Museum London,Museums and public galleries,51.50839276,-0.075188561
Royal London Hospital Archives and Museum,Museums and public galleries,51.51725955,-0.060458489
Museum of the Royal Pharmaceutical Society,Museums and public galleries,51.50907929,-0.068271082
Museum of London Docklands,Museums and public galleries,51.50761933,-0.0238327
Trades Union Congress (TUC) Library Collections,Museums and public galleries,51.5157742,-0.073998025
Kelmscott House,Museums and public galleries,51.49058179,-0.235504364
Fulham Palace,Museums and public galleries,51.47054467,-0.215197704
Wandle Industrial Museum,Museums and public galleries,51.40227251,-0.168038668
Museum of Wimbledon,Museums and public galleries,51.42335474,-0.216643417
Wimbledon Lawn Tennis Museum,Museums and public galleries,51.43371956,-0.214028681
Barts Pathology Museum,Museums and public galleries,51.51764758,-0.101017626
St Bartholomews Hospital Museum,Museums and public galleries,51.51764758,-0.101017626
Dr JohnsonÊ¼s House,Museums and public galleries,51.51503546,-0.108159065
Museum of London,Museums and public galleries,51.5177984,-0.096066693
Barbican Art Gallery,Museums and public galleries,51.51996071,-0.094102587
British Red Cross Museum and Archives,Museums and public galleries,51.5190921,-0.088650504
Guildhall Art Gallery and London's Roman Amphitheatre,Museums and public galleries,51.51556808,-0.091634023
Valence House Museum,Museums and public galleries,51.55831213,0.134200896
Dorich House Museum,Museums and public galleries,51.43334146,-0.26308829
Kingston Museum (and Heritage Service),Museums and public galleries,51.40955345,-0.300284623
The Stephens Collection,Museums and public galleries,51.59660247,-0.194573135
Royal Air Force Museum London (RAF),Museums and public galleries,51.59894703,-0.2381639
Barnet Museum (and Local History Society),Museums and public galleries,51.65287654,-0.20229626
Museum of Domestic Design and Architecture,Museums and public galleries,51.59611572,-0.241911857
Brent Museum,Museums and public galleries,51.5466504,-0.228921499
Enfield Museum Service,Museums and public galleries,51.65031766,-0.081118166
ClockmakersÊ¼ Museum,Museums and public galleries,51.49729595,-0.176492743
Leighton House Museum,Museums and public galleries,51.49858782,-0.203095133
Design Museum,Museums and public galleries,51.49987443,-0.200159026
Kensington Palace (State Apartments and Royal Ceremonial Dress Collection),Museums and public galleries,51.50519934,-0.188021816
National Army Museum,Museums and public galleries,51.48622897,-0.160337436
British Architectural Library â Drawings and Archives Collections,Museums and public galleries,51.49690228,-0.172098031
Natural History Museum,Museums and public galleries,51.49656438,-0.17686772
Carlyleâs House,Museums and public galleries,51.4841328,-0.169701255
The Science Museum,Museums and public galleries,51.49729595,-0.176492743
Victoria and Albert Museum,Museums and public galleries,51.49694363,-0.17220054
The Estorick Collection of Modern Italian Art,Museums and public galleries,51.54387833,-0.100573528
John WesleyÊ¼s House and The Museum of Methodism,Museums and public galleries,51.52358674,-0.087046013
"Wesleyâs Chapel, Museum of Methodism and John Wesleyâs House",Museums and public galleries,51.52376699,-0.086519489
London Canal Museum,Museums and public galleries,51.53422326,-0.12029705
Museum of the Order of St John,Museums and public galleries,51.52192262,-0.102511138
Charterhouse,Museums and public galleries,51.52131611,-0.100042583
Islington Museum,Museums and public galleries,51.52648755,-0.104527
Whitehall Historic House,Museums and public galleries,51.35938066,-0.217208065
Little Holland House,Museums and public galleries,51.35528014,-0.170574724
Honeywood Museum,Museums and public galleries,51.36513123,-0.165068096
Tate Modern,Museums and public galleries,51.50761827,-0.099373398
Fashion and Textile Museum,Museums and public galleries,51.50118091,-0.081789177
London Fire Brigade Museum,Museums and public galleries,51.50196855,-0.098124472
HMS Belfast,Museums and public galleries,51.50659145,-0.081463126
Imperial War Museum,Museums and public galleries,51.49600948,-0.10832779
Old Operating Theatre and Herb Garret,Museums and public galleries,51.50501236,-0.088429615
Brunel Museum,Museums and public galleries,51.50159555,-0.052939828
Dulwich Picture Gallery,Museums and public galleries,51.44597771,-0.086420363
Musical Museum,Museums and public galleries,51.48790924,-0.293132996
The London Museum of Water and Steam,Museums and public galleries,51.48905549,-0.290517572
Hogarthâs House,Museums and public galleries,51.48701875,-0.254987389
Osterley Park House,Museums and public galleries,51.48949016,-0.351741731
Gunnersbury Park Museum,Museums and public galleries,51.49954349,-0.286321448
Museum of Army Music,Museums and public galleries,51.45510022,-0.350654603
Hampton Court Palace,Museums and public galleries,51.40385723,-0.337632683
Kew Palace,Museums and public galleries,51.48527287,-0.291176104
Strawberry Hill House,Museums and public galleries,51.43822124,-0.334730739
Marble Hill House,Museums and public galleries,51.44951494,-0.313307108
Museum of Richmond,Museums and public galleries,51.45881505,-0.306573053
World Rugby Museum,Museums and public galleries,51.45531062,-0.340715315
Ham House,Museums and public galleries,51.44367924,-0.316457894
Orleans House Gallery,Museums and public galleries,51.44733169,-0.319072214
Heath Robinson Museum,Museums and public galleries,51.59247379,-0.386670537
Harrow Museum and Heritage Centre,Museums and public galleries,51.59446395,-0.355067327
Bentley Priory Museum,Museums and public galleries,51.62650832,-0.333057684
Headstone Manor & Museum (Harrow),Museums and public galleries,51.59406082,-0.35261308
Hackney Museum,Museums and public galleries,51.5444793,-0.056070308
Geffrye Museum,Museums and public galleries,51.53155722,-0.076244065
Sutton House,Museums and public galleries,51.54848591,-0.05040426
House Mill,Museums and public galleries,51.52740749,-0.00757826
Royal Museums Greenwich,Museums and public galleries,51.48115302,-0.003725418
Eltham Palace,Museums and public galleries,51.44698487,0.047941322
National Maritime Museum,Museums and public galleries,51.48094088,-0.005215639
RangerÊ¼s House,Museums and public galleries,51.47341137,-0.001610693
Fan Museum,Museums and public galleries,51.47898036,-0.008205711
The Old Royal Naval College,Museums and public galleries,51.48296792,-0.006397413
Clipper Ship Cutty Sark,Museums and public galleries,51.48281205,-0.009492691
Cinema Museum,Museums and public galleries,51.49228045,-0.105168911
Black Cultural Archives,Museums and public galleries,51.46051638,-0.114572314
The Garden Museum,Museums and public galleries,51.49504923,-0.120195358
Hayward Gallery,Museums and public galleries,51.50613299,-0.115444815
Florence Nightingale Museum,Museums and public galleries,51.500052,-0.117006942
Migration Museum and the London Fire Brigade Museum,Museums and public galleries,51.49308936,-0.120399914
Michael Faraday Museum at the Royal Institution,Museums and public galleries,51.50994668,-0.142553438
Tate Britain,Museums and public galleries,51.49087146,-0.127180934
The Society of Antiquaries of London - Burlington House,Museums and public galleries,51.50873319,-0.13974947
Royal Academy of Arts,Museums and public galleries,51.50909914,-0.139576035
MCC Museum,Museums and public galleries,51.52854589,-0.173052371
The Courtauld Gallery,Museums and public galleries,51.51102034,-0.117952414
Household Cavalry Museum,Museums and public galleries,51.50498193,-0.127236227
Royal Academy of Music Museum,Museums and public galleries,51.5235093,-0.152337225
Guards Museum,Museums and public galleries,51.49960919,-0.138276978
Banqueting House Whitehall,Museums and public galleries,51.50453839,-0.125928744
Imperial College Healthcare Charity Art Collection at St Mary's Hospital,Museums and public galleries,51.51739498,-0.173628565
The Wallace Collection,Museums and public galleries,51.51716928,-0.152896623
British Optical Association Museum,Museums and public galleries,51.50784458,-0.125355363
Anaesthesia Museum,Museums and public galleries,51.51939349,-0.14510941
London Transport Museum,Museums and public galleries,51.5121249,-0.121221616
"Courtauld Gallery, University of London",Museums and public galleries,51.51073438,-0.116910436
Museum of the Royal Philatelic Society London,Museums and public galleries,51.52147742,-0.150084304
Churchill (Museum & Cabinet) War Rooms,Museums and public galleries,51.50217907,-0.12937736
National Portrait Gallery,Museums and public galleries,51.5093988,-0.128452891
Hunterian Museum at the Royal College of Surgeons,Museums and public galleries,51.51528552,-0.115874028
Royal College of Surgeons of England,Museums and public galleries,51.51528552,-0.115874028
Mall Galleries,Museums and public galleries,51.50671003,-0.13014825
Royal College of Music Museum of Instruments,Museums and public galleries,51.4992805,-0.176888954
National Gallery,Museums and public galleries,51.50909835,-0.127658195
Benjamin Franklin House,Museums and public galleries,51.50764232,-0.124893454
British Dental Association Museum,Museums and public galleries,51.5185766,-0.148616375
British Architectural Library (Library and Photographs Collection),Museums and public galleries,51.52132272,-0.14484359
Handel and Hendrix in London,Museums and public galleries,51.51296728,-0.145903843
Havering Museum,Museums and public galleries,51.57792332,0.179586814
Redbridge Museum,Museums and public galleries,51.55806439,0.075328101
Horniman Museum and Gardens,Museums and public galleries,51.44113087,-0.060736391
Crossness Engines,Museums and public galleries,51.50580578,0.134010243
Hall Place and Gardens,Museums and public galleries,51.44803113,0.160255399
Walthamstow Pumphouse Museum,Museums and public galleries,51.57671401,-0.03476443
Vestry House Museum,Museums and public galleries,51.58401372,-0.012739356
The View (Epping Forest Collection),Museums and public galleries,51.63439473,0.017524522
William Morris Gallery and Brangwyn Gift,Museums and public galleries,51.59130071,-0.020376609
"Hillingdon Local Studies, Archives and Museum",Museums and public galleries,51.54518515,-0.478276714
Bruce Castle Museum,Museums and public galleries,51.5991501,-0.075440903
Hasmick Promotions Ltd,Music (office based businesses),51.43644469,-0.053093393
Rub A Dub Records Ltd,Music (office based businesses),51.42515108,-0.045618669
Cubafilin Records Ltd,Music (office based businesses),51.42565902,-0.055608732
Fyesta Music / Rmoney Records Ltd,Music (office based businesses),51.426019,0.013108614
Waveney Music Publishing Ltd,Music (office based businesses),51.42770522,-0.050487043
Quiffmanrecords Ltd,Music (office based businesses),51.42997732,0.022432136
Underoneroof Records Ltd,Music (office based businesses),51.43501691,-0.049974431
Top Keys Record Label Ltd,Music (office based businesses),51.43508244,-0.030231783
Twister Records Ltd,Music (office based businesses),51.43619934,-0.024457305
Robot Elephant Records Ltd,Music (office based businesses),51.43890883,-0.047693554
Dreamreal Records Ltd,Music (office based businesses),51.43773224,0.021738635
Duly Noted Records Ltd,Music (office based businesses),51.43813897,0.005382197
Blak Hand Records Ltd,Music (office based businesses),51.4402787,-0.007776739
Ovastak Records Ltd,Music (office based businesses),51.44090678,-0.02203825
My House Records Ltd,Music (office based businesses),51.44285376,0.000494531
Born A Nonentity Records Ltd,Music (office based businesses),51.44415092,-0.055758912
Polymorph Records Ltd,Music (office based businesses),51.44849451,-0.037958886
Underfound Records Ltd,Music (office based businesses),51.44965047,-0.019530446
Hyperion Records Ltd,Music (office based businesses),51.44951371,0.008082429
Radiogram Records Ltd,Music (office based businesses),51.45368852,-0.040413407
Fuzzy Moon Records Ltd,Music (office based businesses),51.46282511,-0.044168198
Organ Grinder Records Ltd,Music (office based businesses),51.46608076,-0.025413191
Sanus Hao Ltd,Music (office based businesses),51.49050102,-0.036385853
Fire,Music (office based businesses),51.48472019,-0.123788921
Pieces Of 8 Music,Music (office based businesses),51.47134896,-0.118231937
Westbury Music Ltd,Music (office based businesses),51.46286779,-0.115370296
Liquid Management,Music (office based businesses),51.47014708,-0.140412164
Kowloon Records,Music (office based businesses),51.47035098,-0.171101965
Lem Records Ltd,Music (office based businesses),51.4239976,-0.163329516
Pstreetrecords Ltd,Music (office based businesses),51.43029285,-0.161048651
Bmv Records Ltd,Music (office based businesses),51.43846714,-0.244361535
Jacamar Publishing Ltd,Music (office based businesses),51.43971343,-0.167116708
Curious Records Ltd,Music (office based businesses),51.44718767,-0.199126497
Sensible House Records Ltd,Music (office based businesses),51.45692939,-0.163332496
Beggars Group,Music (office based businesses),51.45848972,-0.185582231
Monotreme Records Ltd,Music (office based businesses),51.46082253,-0.1621398
Trashmouth Records Ltd,Music (office based businesses),51.46829971,-0.224298415
Dollhouse Records Ltd,Music (office based businesses),51.47694766,-0.166820503
Dubmission Records Ltd,Music (office based businesses),51.47694766,-0.166820503
Limitless Records 24/7 C.i.c.,Music (office based businesses),51.50344347,0.0455544
Ageless One Publishing Ltd,Music (office based businesses),51.51417787,0.029172764
Unruly Records Ltd,Music (office based businesses),51.5157699,0.032789155
S.a.s.h Group Ltd,Music (office based businesses),51.51977938,0.027677645
Uncle Curly Records Ltd,Music (office based businesses),51.53590362,0.043202732
Livarachi Records Ltd,Music (office based businesses),51.54090404,0.002543459
K2 Records Ltd,Music (office based businesses),51.54974264,0.001561316
Karma Records Ltd,Music (office based businesses),51.55496587,0.022606223
Crockford Management,Music (office based businesses),51.52037356,-0.137156002
The Orchard,Music (office based businesses),51.5194344,-0.106578522
Transcript Divas,Music (office based businesses),51.52059351,-0.122184683
Connoisseur Collection,Music (office based businesses),51.5232218,-0.141537321
First Night Records Ltd,Music (office based businesses),51.5232218,-0.141537321
Big Life Management Ltd,Music (office based businesses),51.52984582,-0.130555264
Silva Screen Music,Music (office based businesses),51.54177108,-0.140233374
Once Upon A Time Music Publishing Ltd,Music (office based businesses),51.54236876,-0.142199153
A T C,Music (office based businesses),51.54251729,-0.141356656
Warp Records Ltd,Music (office based businesses),51.55601836,-0.14837969
The Bach Players,Music (office based businesses),51.55872867,-0.143479951
J/fly Publishing Ltd,Music (office based businesses),51.32644268,-0.134805315
Dance Party Records Ltd,Music (office based businesses),51.36270894,-0.104947604
The World Is Yours Records Ltd,Music (office based businesses),51.39584498,-0.085983423
Black Am I Records Ltd,Music (office based businesses),51.40175768,-0.070927856
Mrlr Ltd,Music (office based businesses),51.40373421,-0.095531223
Grape Records Music Ltd,Music (office based businesses),51.4214867,-0.103351209
Pierreplay Records Ltd,Music (office based businesses),51.34939155,-0.196773049
Blue Flowers Publishing Ltd,Music (office based businesses),51.35681984,-0.221487061
More Time Records Ltd,Music (office based businesses),51.35728893,-0.212721836
Lontano Records Ltd,Music (office based businesses),51.35662332,-0.147296558
Heads Up Music Ltd,Music (office based businesses),51.35813525,-0.214556119
Rhirhi Records Ltd,Music (office based businesses),51.36261651,-0.182592924
Ncs Entertainment Ltd,Music (office based businesses),51.38180293,-0.224557574
Sludge City Records Ltd,Music (office based businesses),51.37498379,-0.015827309
We Make Things Records Ltd,Music (office based businesses),51.41800177,0.057398507
Balanced Waves Ltd,Music (office based businesses),51.38213192,-0.220161717
Sgo Music Publishing Ltd,Music (office based businesses),51.39197343,-0.218615709
Sceneone Productions Ltd,Music (office based businesses),51.39792794,-0.174882722
Enlightenment Records Ltd,Music (office based businesses),51.4143876,-0.246334282
Ne Plus Label Ltd,Music (office based businesses),51.41027427,-0.166194604
E G Music Ltd,Music (office based businesses),51.41811415,-0.197967836
Copy & Paste Music Management Ltd,Music (office based businesses),51.41953198,-0.212452972
Graham Music Publishers Ltd,Music (office based businesses),51.39193614,-0.310207817
Lonesome Dog Studios,Music (office based businesses),51.40150987,-0.271124088
Pattern Records Ltd,Music (office based businesses),51.4094009,-0.288570985
Tigersun Records Ltd,Music (office based businesses),51.42417521,-0.29595868
Big Label Records Uk Ltd,Music (office based businesses),51.41285679,-0.311695128
Natural Light Records & Publications Ltd,Music (office based businesses),51.42834185,-0.324862114
Avatone Records Ltd,Music (office based businesses),51.4359917,-0.329085523
Convivium Records Ltd,Music (office based businesses),51.43993867,-0.355733286
Alcopop! Records Ltd,Music (office based businesses),51.44487266,-0.340230415
Pieces Of Eight Records Ltd,Music (office based businesses),51.44673436,-0.332650741
Mustard Music Publishing Ltd,Music (office based businesses),51.453026,-0.307967414
Red Raw Records Ltd,Music (office based businesses),51.45376891,-0.335359359
Lower Groove Music Publishing Ltd,Music (office based businesses),51.45710514,-0.289751776
Little Ears Records Ltd,Music (office based businesses),51.46511226,-0.264286971
Kaleidoscope Music Management & Publishing Ltd,Music (office based businesses),51.46627306,-0.290676202
Undo Records Ltd,Music (office based businesses),51.43613272,-0.391852696
Elysian Records Ltd,Music (office based businesses),51.43947789,-0.376857633
Asian Music Publishing Ltd,Music (office based businesses),51.46608139,-0.364238149
Vaguely Strange Records Ltd,Music (office based businesses),51.47312658,-0.331343138
Republic Artists Ltd,Music (office based businesses),51.479266,-0.336231618
Incentive Music,Music (office based businesses),51.48751627,-0.255413764
Jumbuck Ltd,Music (office based businesses),51.48798007,-0.283195892
Mr Records Ltd,Music (office based businesses),51.49443612,-0.387050815
Spilt Milk Records Ltd,Music (office based businesses),51.49399031,-0.256578371
Breakin Bread Records Ltd,Music (office based businesses),51.49676102,-0.297676104
Defigo Management Group Ltd,Music (office based businesses),51.43687097,0.051642754
Aztec Records Ltd,Music (office based businesses),51.44489065,0.027465681
Suspect Records Ltd,Music (office based businesses),51.47325839,-0.016967265
Lit Management Ltd,Music (office based businesses),51.47831361,0.019326957
Therapy Records Ltd,Music (office based businesses),51.47968357,0.073755479
Sound Performance Ltd,Music (office based businesses),51.48176796,-0.017634805
Amber Records Ltd,Music (office based businesses),51.48269448,0.086523576
V Records Ltd,Music (office based businesses),51.48935883,0.069743442
Eclectic Electric Publishing Ltd,Music (office based businesses),51.46720143,-0.194177805
Sunsick Records Ltd,Music (office based businesses),51.46887165,-0.191102656
Room 609 Records Ltd,Music (office based businesses),51.47133366,-0.188643896
Kassner Associated Publishers Ltd,Music (office based businesses),51.47856533,-0.212191707
Focus Music (Publishing) Ltd,Music (office based businesses),51.48048194,-0.196994853
Universal Music Publishing International Ltd,Music (office based businesses),51.48048194,-0.196994853
Persies Ltd,Music (office based businesses),51.48066693,-0.208480291
Riverman Records Ltd,Music (office based businesses),51.48343051,-0.211612678
Creative Artists Agency,Music (office based businesses),51.49285303,-0.219772073
